movie_id	title	rating	votes	gross	countries
2079316	"At Close Range"	7.0	9063	"$2,347,000 (USA)"	USA
2079359	"At First Sight"	5.9	10207	"$22,365,133 (USA)"	USA
2079498	"At Play in the Fields of the Lord"	6.7	2408	"$1,342,903 (USA)"	USA
2080616	Atonement	7.8	160966	"$50,927,067 (USA)"	USA
2080865	"Attack of the 50 Foot Woman"	5.0	2860	"$480,000 (USA)"	USA
2082484	"Auntie Mame"	8.0	7166	"$23,300,000 (USA)"	USA
2082948	"Austin Powers in Goldmember"	6.2	139201	"$213,307,889 (USA)"	USA
2082953	"Austin Powers: The Spy Who Shagged Me"	6.6	154862	"$206,040,086 (USA)"	USA
2083113	"Author! Author!"	6.1	3722	"$13,111,101 (USA)"	USA
2083829	Avalon	7.3	4363	"$15,740,796 (USA)"	USA
2083985	Avatar	7.9	703317	"$760,507,625 (USA)"	USA
2084171	"Avenging Force"	5.7	1270	"$4,679,650 (USA)"	USA
2084504	"AVP: Alien vs. Predator"	5.5	118159	"$80,282,231 (USA)"	USA
2084799	Awakenings	7.7	76801	"$52,096,475 (USA)"	USA
2084907	"Away We Go"	7.1	41724	"$9,451,946 (USA)"	USA
2086648	Babe	6.9	80993	"$66,600,000 (USA)"	USA
2086686	Babel	7.5	209407	"$34,302,837 (USA)"	USA
2086791	"Babes in Toyland"	6.3	2061	"$10,218,316 (USA)"	USA
2087081	"Baby Boom"	6.0	8975	"$26,712,476 (USA)"	USA
2087318	"Baby It's You"	6.4	1287	"$1,867,792 (USA)"	USA
2087494	"Baby's Day Out"	5.8	25882	"$16,671,505 (USA)"	USA
2087544	"Baby: Secret of the Lost Legend"	5.0	2320	"$14,972,297 (USA)"	USA
2087831	"Bachelor Party"	6.2	25062	"$38,435,947 (USA)"	USA
2088301	"Back to School"	6.5	18680	"$91,258,000 (USA)"	USA
2088330	"Back to the Beach"	5.6	1959	"$13,110,903 (USA)"	USA
2088349	"Back to the Future"	8.5	524613	"$210,609,762 (USA)"	USA
2088356	"Back to the Future Part III"	7.4	197872	"$87,727,583 (USA)"	USA
2088546	Backdraft	6.7	50947	"$77,868,585 (USA)"	USA
2089102	"Bad Boys"	7.2	9252	"$9,200,000 (USA)"	USA
2089105	"Bad Boys"	6.8	135578	"$65,807,024 (USA)"	USA
2089119	"Bad Boys II"	6.5	147563	"$138,608,444 (USA)"	USA
2089173	"Bad Company"	5.4	2066	"$3,700,000 (USA)"	USA
2089175	"Bad Company"	5.6	36309	"$30,160,161 (USA)"	USA
2089243	"Bad Dreams"	5.5	2018	"$9,797,098 (USA)"	USA
2089287	"Bad Girls"	5.0	8538	"$15,240,435 (USA)"	USA
2089409	"Bad Influence"	6.2	4783	"$12,626,043 (USA)"	USA
2089454	"Bad Lieutenant"	7.1	25064	"$2,000,022 (USA)"	USA
2089529	"Bad Moon"	5.5	3086	"$1,055,525 (USA)"	USA
2092383	Balto	7.0	25246	"$11,268,750 (USA)"	USA
2092475	Bambi	7.4	68521	"$102,797,150 (USA)"	USA
2092863	"Band of the Hand"	6.2	1882	"$4,865,912 (USA)"	USA
2094070	Baraka	8.6	22409	"$1,250,322 (USA)"	USA
2094119	"Barb Wire"	3.1	18722	"$3,794,000 (USA)"	USA
2094453	Barcelona	7.0	3926	"$7,266,973 (USA)"	USA
2094958	"Barefoot in the Park"	7.0	9333	"$19,994,515 (USA)"	USA
2095356	Barfly	7.3	11960	"$3,221,568 (USA)"	USA
2096087	Bartleby	6.4	1445	"$148,479 (USA)"	USA
2096106	"Barton Fink"	7.7	74313	"$6,153,939 (USA)"	USA
2096411	"Basic Instinct"	6.9	111115	"$117,727,000 (USA)"	USA
2096413	"Basic Instinct 2"	4.1	27167	"$5,971,336 (USA)"	USA
2096751	Bat*21	6.4	5379	"$3,966,256 (USA)"	USA
2097052	"Batman & Robin"	3.6	159295	"$107,325,195 (USA)"	USA
2097056	Batman	7.6	221605	"$251,188,924 (USA)"	USA
2097089	"Batman Forever"	5.4	158464	"$184,031,112 (USA)"	USA
2097105	"Batman Returns"	7.0	174457	"$162,831,698 (USA)"	USA
2097155	"Batman: Mask of the Phantasm"	7.9	22866	"$5,617,391 (USA)"	USA
2097219	Bats	3.6	7798	"$10,155,690 (USA)"	USA
2097395	"Battle for the Planet of the Apes"	5.5	19673	"$8,800,000 (USA)"	USA
2097726	Battleship	5.9	170629	"$65,422,625 (USA)"	USA
2098781	Beaches	6.7	15621	"$57,041,866 (USA)"	USA
2098838	Bean	6.3	63695	"$45,319,423 (USA)"	USA
2099106	"Beastmaster 2: Through the Portal of Time"	3.6	2059	"$869,325 (USA)"	USA
2099127	"Beasts of the Southern Wild"	7.3	59541	"$12,795,746 (USA)"	USA
2099190	"Beat Street"	6.4	2166	"$16,595,791 (USA)"	USA
2099645	"Beautiful Girls"	7.2	23858	"$10,597,759 (USA)"	USA
2099882	"Beauty and the Beast"	8.1	229128	"$218,967,620 (USA)"	USA
2100482	"Bed of Roses"	6.0	6154	"$19,030,691 (USA)"	USA
2100587	"Bedknobs and Broomsticks"	7.0	21597	"$17,871,174 (USA)"	USA
2100705	"Bedtime Stories"	6.1	61816	"$110,101,975 (USA)"	USA
2100781	"Bee Movie"	6.2	86685	"$126,631,277 (USA)"	USA
2100891	"Beer for My Horses"	4.8	1260	"$666,045 (USA)"	USA
2100932	Beerfest	6.3	48657	"$19,185,184 (USA)"	USA
2100972	Beethoven	5.5	38896	"$57,114,049 (USA)"	USA
2100985	"Beethoven's 2nd"	4.6	15448	"$53,354,166 (USA)"	USA
2101019	Beetlejuice	7.4	147982	"$73,326,666 (USA)"	USA
2101049	"Before and After"	6.1	5905	"$8,797,839 (USA)"	USA
2101175	"Before Sunrise"	8.1	134713	"$5,535,405 (USA)"	USA
2101880	"Behind the Green Door"	6.1	1374	"$50,000,000 (USA)"	USA
2101957	"Behind the Mask: The Rise of Leslie Vernon"	6.8	14904	"$69,136 (USA)"	USA
2102761	"Being There"	8.0	44864	"$30,177,511 (USA)"	USA
2103704	Beloved	5.8	5655	"$22,852,487 (USA)"	USA
2104130	Ben-Hur	8.1	124128	"$74,700,000 (USA)"	USA
2104132	"Ben-Hur: A Tale of the Christ"	8.1	5660	"$9,502,620 (USA)"	USA
2104334	"Beneath the Planet of the Apes"	6.1	26808	"$17,489,009 (USA)"	USA
2104595	Benji	6.0	2999	"$39,552,600 (USA)"	USA
2104601	"Benji the Hunted"	6.2	1815	"$22,257,624 (USA)"	USA
2104630	"Benny & Joon"	7.2	39924	"$23,202,734 (USA)"	USA
2105849	"Best Defense"	3.5	4269	"$19,265,302 (USA)"	USA
2105893	"Best Friends"	5.3	1637	"$36,821,203 (USA)"	USA
2106174	"Best of the Best"	6.3	8220	"$1,700,000 (USA)"	USA
2106181	"Best of the Best II"	5.2	3489	"$6,607,218 (USA)"	USA
